citetext,wikihandle,year,citeid,done,datevar,issuevar,volumevar,yearvar,refvar,manual_date
baseball digestis abaseballmagazineresource published inevanston illinoisby grandstand publishing llc. it is the oldest and longest-running baseball magazine in the united states.,Baseball_Digest,2013,1,0,,,,,,NA
baseball digestis abaseballmagazineresource published inevanston illinoisby lakeside publishing company. it is the oldest and longest-running baseball magazine in the united states.,Baseball_Digest,2011,2,0,,,,,,NA
baseball digestis abaseballmagazineresource published inevanston illinoisby lakeside publishing company. it is the oldest baseball magazine in the united states.,Baseball_Digest,2010,3,0,,,,,,NA
baseball digestis abaseballmagazineresource. published 10 times a year &ndash; withnational league|nationalandamerican league|americanleague schedules directories and pre-season rosters &ndash; the magazine provides insights onmajor league baseballhistory and on current stars often from one-on-one interviews.,Baseball_Digest,2005,4,0,,,,,,NA
baseball digestis abaseballmagazine resource. published 10 times a year --withnational league|nationalandamerican league|americanleagues schedules directories and pre-season rosters-- the magazine provides insights onmajor league baseballhistory and on current stars and from one-on-one interviews.,Baseball_Digest,2004,13,0,,,,,,NA
eric harding rick peterson(bornoctober 301954) is apitching coachand formerpitcherinmajor league baseball. he was a pitcher in thepittsburgh piratesorganization but is most notable as the pitching coach for theoakland athleticsandnew york mets. peterson is known for his unique use ofbiomechanicalresearch andpsychologicalprinciples to help pitchers improve their pitching motions.<ref name=starbucks>{{cite news|url=http://findarticles.com/p/articles/mi_m0fci/is_1_62/ai_94818629|title=as pitching coach rick peterson using a philosophical approach to teaching|first=norman|last=macht|publisher=baseball digest|date=2003-01-01|accessdate=2008-02-12 }}</ref>his nicknames include the jacket and the professor.,Rick_Peterson,2008,51,0,,,,,,2003
john kuenster(june 18 1924 - april 2 2012) was a sportswriter for thechicago daily newsand most notably was the editor of the periodicalbaseball digest. he also wrote the booksto sleep with the angels(1990)heartbreakers(2002) andat home and away(2003) among others.<ref>http://www.goodreads.com/author/list/17523.john_kuenster goodreads.com</ref><ref>http://www.huffingtonpost.com/john-kuenster huffingtonpost.com</ref>,John_Kuenster,2013,99,0,,,,,,NA
john lewis mayo(born on july 26 1925 inlitchfield illinois) is a formermajor league baseballplayer who played for thephiladelphia philliesbetween 1948 and 1953.<ref name=sportsillustrated>{{cite web|url=http://sportsillustrated.cnn.com/baseball/mlb/all_time_stats/players/m/42926/index.html|title=jackie mayo|publisher=si.com|accessdate=2008-03-09}}</ref>he was part of the team that won thenational leaguepennant in 1950 and was regarded as one of the philadelphia whiz kids.<ref name=baseballdigest>{{cite web|url=http://findarticles.com/p/articles/mi_m0fci/is_11_61/ai_92521923/print|first=joe|last=oloughlin|title=1950: when philadelphias whiz kids won the n.l. pennant|publisher=baseball digest|accessdate=2008-03-09}}</ref>,Jackie_Mayo,2008,101,0,,,,,,1950
john lewis mayo(born on july 26 1925 inlitchfield illinois) is a formermajor league baseballplayer who played for thephiladelphia philliesbetween 1948 and 1953.<ref name=sportsillustrated>{{cite web|url=http://sportsillustrated.cnn.com/baseball/mlb/all_time_stats/players/m/42926/index.html|title=jackie mayo|publisher=si.com|accessdate=2008-03-09}}</ref>he was part of the team that won thenational leaguepennant in 1950 and was regarded as one of the philadelphia whiz kids.<ref name=baseballdigest>{{cite web|url=http://findarticles.com/p/articles/mi_m0fci/is_11_61/ai_92521923/print|first=joe|last=oloughlin|title=1950: when philadelphias whiz kids won the n.l. pennant|publisher=baseball digest|accessdate=2008-03-09}}</ref>he is the oldest surviving player from the team.,Jackie_Mayo,2009,102,0,,,,,,1950
thomas joseph thevenow(september 61903inmadison indianajuly 291957inmadison indiana) is a former professional baseball player who playedshortstopin the major leagues from 19241938. he played for thephiladelphia philliesatlanta braves|boston beespittsburgh piratescincinnati reds andst. louis cardinalsduring his career. thevenow epitomized the good-fielding / weak-hitting shortstops that prevailed in the era ending his career with afielding percentageof .947 but abatting averageof .248 while hitting only two home runs in his 15-year career. he hit two home runs in 1926 bothinside-the-park home runs and then never hit another home run in his next 12 seasons setting a major league record of 3347 consecutiveat bats without a home run.<ref>vass george.http://findarticles.com/p/articles/mi_m0fci/is_5_61/ai_84542681/pg_3/ punch and judy: many major league hitters are successful without possessing home run powerbaseball digest may2002. accessed june 28 2009.</ref><ref name=nytobit>staff.http://select.nytimes.com/gst/abstract.html?res=fa0f17fb3c54177b93c2aa178cd85f438585f9 tommy thevenow former shortstopthe new york times july 30 1957. accessed june 28 2009.</ref>,Tommy_Thevenow,2009,161,0,,,,,,2002
thomas joseph thevenow(september 6 1903 inmadison indiana july 29 1957 inmadison indiana) is a former professional baseball player who playedshortstopin the major leagues from 19241938. he played for thephiladelphia philliesatlanta braves|boston beespittsburgh piratescincinnati reds andst. louis cardinalsduring his career. thevenow epitomized the good-fielding / weak-hitting shortstops that prevailed in the era ending his career with afielding percentageof .947 but abatting averageof .248 while hitting only two home runs in his 15-year career. he hit two home runs in 1926 bothinside-the-park home runs and then never hit another home run in his next 12 seasons setting a major league record of 3347 consecutiveat bats without a home run.<ref>vass george.http://findarticles.com/p/articles/mi_m0fci/is_5_61/ai_84542681/pg_3/ punch and judy: many major league hitters are successful without possessing home run powerbaseball digest may2002. accessed june 28 2009.</ref><ref name=nytobit>staff.http://select.nytimes.com/gst/abstract.html?res=fa0f17fb3c54177b93c2aa178cd85f438585f9 tommy thevenow former shortstopthe new york times july 30 1957. accessed june 28 2009.</ref>,Tommy_Thevenow,2010,164,0,,,,,,2002
*baseball digest,List_of_online_magazines,2013,175,0,,,,,,NA
*baseball digesthttp://books.google.com/books?id=ai4daaaambaj in image via googlefree,List_of_online_magazines,2010,176,0,,,,,,NA
*players choice awardsplayer of the year<ref name=playerofyr>theplayers choice awardsthe sporting news player of the year award|sporting newsbaseball america major league player of the year|baseball america andbest major league baseball player espy award|espyplayer-of-the-year awards include all positions (in both leagues combined).baseball americaand the espys do not have a pitcher of the year award. the players choice awards also have outstanding player and outstanding pitcher awards in each league.sporting newsalso has a pitcher of the year award in each league. from 1969 to 1993 thebaseball digestplayer-of-the-year award included all positions (in both leagues combined); in 1994 it added a separate pitcher of the year award (for both leagues combined).</ref>,Baseball_awards,2013,177,0,,,,,,NA
*arndt jorgenswas a norwegian-born catcher (192939) playing his entire career for thenew york yankees.<ref name=baseballdigest99/>,Lane_Technical_College_Prep_High_School,2013,188,0,,,,,,1999
*baseball digestall-star rookie team (1998),Todd_Helton,2008,189,0,,,,,,NA
*baseball digestplayer of the year (2000),Todd_Helton,2007,190,0,,,,,,NA
*ed linkewas a major league baseball pitcher (193338).<ref name=baseballdigest99/>,Lane_Technical_College_Prep_High_School,2013,194,0,,,,,,1999
*frank dassowas a pitcher for thecincinnati reds(194546).<ref name=baseballdigest99/><ref>{{cite web|title=frank dasso|work=statistical and biographic info|publisher=baseball reference.com|url=http://www.baseball-reference.com/players/d/dassofr01.shtml|accessdate=21 november 2010|quote=high school: lane technical (chicago il)}}</ref>,Lane_Technical_College_Prep_High_School,2010,195,0,,,,,,1999
