"datetime.href","datetime.text","user.href","user.text","comment.href","comment.text","url"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Baseball_Digest_July_1963_front_cover.jpg"
"http://upload.wikimedia.org/wikipedia/commons/1/14/Baseball_Digest_July_1963_front_cover.jpg","22:27, 26 August 2009","http://commons.wikimedia.org/wiki/User:Struthious_Bandersnatch","Struthious Bandersnatch (talk | contribs)","http://en.wikipedia.org/wiki/Baseball_Digest","{{Image extracted|James Jerome OToole full shot, circa 1963.jpg}} {{Information |Description=Front cover of the July 1963 issue of Baseball Digest. Text says 'Baseball Digest, PDC, July 1963, 25¢, It's Not True That Southpaws Are","http://commons.wikimedia.org/wiki/File:Baseball_Digest_July_1963_front_cover.jpg"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Baseball_Digest_cover_art,_1948.png"
"http://upload.wikimedia.org/wikipedia/commons/3/39/Baseball_Digest_cover_art%2C_1948.png","20:01, 26 August 2009","http://commons.wikimedia.org/wiki/User:Struthious_Bandersnatch","Struthious Bandersnatch (talk | contribs)","http://en.wikipedia.org/wiki/Baseball_Digest","{{Information |Description=Cover art from the May 1948 issue of Baseball Digest. |Source=Google Books - {{cite journal | title = (front cover) | journal = Baseball Digest | date = May 1948 | page = (fron","http://commons.wikimedia.org/wiki/File:Baseball_Digest_cover_art,_1948.png"
"","Date/Time","","User","Comment","http://commons.wikimedia.org/wiki/File:Whitey_Ford_1960.png"
"http://upload.wikimedia.org/wikipedia/commons/1/18/Whitey_Ford_1960.png","01:55, 5 June 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","{{Information |Description ={{en|1=New York Yankees pitcher and Hall of Famer {{w|Whitey Ford}] in a 1960 issue of Baseball Digest.}}}} |Source =Baseball Digest, page 7, July 1960 issue. [http://books.google.com/books?id=DbcDAAAAMBAJ&lpg=P","http://commons.wikimedia.org/wiki/File:Whitey_Ford_1960.png"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Jack_Sanford_1958.png"
"http://upload.wikimedia.org/wikipedia/commons/d/d9/Jack_Sanford_1958.png","00:02, 30 May 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","http://en.wikipedia.org/wiki/Jack_Sanford","{{Information |Description ={{en|1=Philadelphia Phillies pitcher en:Jack Sanford in a 1958 issue of Baseball Digest.}} |Source =Baseball Digest, page 2, June 1958 issue. [http://books.google.com/books?id=7jIDAAAAMBAJ&printsec=frontcover&dq","http://commons.wikimedia.org/wiki/File:Jack_Sanford_1958.png"
"","Date/Time","","User","Comment","http://commons.wikimedia.org/wiki/File:George_Zuverink.jpg"
"http://upload.wikimedia.org/wikipedia/commons/8/8d/George_Zuverink.jpg","22:34, 7 June 2012","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","{{Information |Description ={{en|1=Baltimore Orioles pitcher {{w|George Zuverink}} in a 1956 issue of Baseball Digest.}} |Source =Baseball Digest, page 2, August 1956 issue. [http://books.google.com/books?id=TSwDAAAAMBAJ&lpg=PA1&dq=baseball%...","http://commons.wikimedia.org/wiki/File:George_Zuverink.jpg"
